name,time,mean_score,cv_scores,notebook_path,submission_path,submission_score
Game baseline,2019-11-19 16:51:22.976533+04:00,0.5216346950551788,"[0.5537180482275439, 0.5369835700820295, 0.5238957300540257, 0.49549097214072135, 0.49808515477157345]",notebooks/Game baseline.ipynb,notebooks/submissions/Game baseline submission.ipynb,0.445
Time + calendar features as is,2019-11-04 02:46:40.201648+04:00,0.5091312722509007,"[0.53695404946506, 0.5242692903114117, 0.5082992396170676, 0.4890864025859084, 0.48704737927505637]",Time features.ipynb,,
Assessment features,2020-01-22 10:23:04.915758+04:00,0.9960614034505578,"[0.9647463955228139, 0.9979926126086378, 0.9567602265050382, 1.0106369948895797, 1.0501707877267201]",7cde9066aadad7a31931d333cbfcc5f74f157a0c,Regression baseline submission ass,0.547
Add grouped eventid,2020-01-22 10:23:05.407748+04:00,1.0006629835045555,"[0.9686826832495222, 1.0083843763046314, 0.9603410954528153, 1.0117610416953635, 1.0541457208204468]",Nothing,,
Exponent mov avg,2020-01-22 10:23:05.256834+04:00,0.9979330906153304,"[0.9658515696471883, 1.007380563180694, 0.9545393063586448, 1.011410324345738, 1.050483689544387]",Nothing,,
NN baseline,2020-01-22 10:23:46.263557+04:00,1.1009174605446923,"[1.080805501698279, 1.1077282052716182, 1.0682340314009167, 1.1059859871300355, 1.1418335772226125]",Nothing,NN submission,0.48100000000000004
LayerNormalization,2020-01-22 10:31:57.296419+04:00,1.1175286831465256,"[1.0733702287277525, 1.1139393497806076, 1.1190090496131775, 1.1321305450978438, 1.1491942425132466]",Nothing,,
